movieId,imdbId,tmdbId
162052,tt00054064,109916
162054,tt00055963,118300
162056,tt00055790,396269
162058,tt02345561,105506
162060,tt05660830,399097
162062,tt05604510,392554
162064,tt00768171,65442
162066,tt00070074,3105
162070,tt01776167,198057
162072,tt01821355,268956
162074,tt00066592,86196
162076,tt00066401,157031
162078,tt01562918,296472
162080,tt02279786,141267
162082,tt05700672,396535
162084,tt00068801,234266
162086,tt02279838,138115
162088,tt02238660,138118
162090,tt02239108,136071
162092,tt02239100,133879
162094,tt01521870,24024
162096,tt00071576,47698
162098,tt01493813,24025
162100,tt01895318,229007
162102,tt02216856,389614
162104,tt00056096,209138
162106,tt02183070,231811
162108,tt02190252,168056
162110,tt02259268,168057
162112,tt02188743,231812
162114,tt00044939,102764
162116,tt00045119,210019
162118,tt00044379,87294
162120,tt00046307,109020
162126,tt00072674,185154
162128,tt00075045,105848
162130,tt00079340,105672
162132,tt00179463,260883
162134,tt00078477,34467
162136,tt00163707,270493
162138,tt00069837,123940
162144,tt00026610,284497
162146,tt00293562,49635
162148,tt03352390,368031
162150,tt03655682,376579
162152,tt03352034,356901
162154,tt02922724,403593
162156,tt00080469,26803
162158,tt04526546,402446
162160,tt02597892,336455
162162,tt03894312,407389
162164,tt05489954,384111
162166,tt00120250,256916
162168,tt01213926,31111
162170,tt04567486,336265
162172,tt02638662,306966
162174,tt03163244,340248
162180,tt00189570,322442
162188,tt00095565,162700
162190,tt00080975,184799
162192,tt00065944,149320
162194,tt00064035,57666
162196,tt00056668,183889
162198,tt00053349,177474
162200,tt05239180,391088
162202,tt00084893,41125
162204,tt05164412,373471
162206,tt00042253,238196
162208,tt00048227,118490
162210,tt01914302,375384
162212,tt05823326,403173
162214,tt00061612,262755
162216,tt00808532,32013
162218,tt03646344,319998
162220,tt00330472,32556
162222,tt02040292,79644
162224,tt05803868,402042
162226,tt02039331,180859
162228,tt02499414,238475
162230,tt02196560,179573
162232,tt00839773,35297
162234,tt00091221,5856
162236,tt01978451,182583
162238,tt00312281,66623
162240,tt01825784,190967
162242,tt00492533,142093
162244,tt01804508,118946
