tmdbid,Lookup ID,URL,Featured Review
9833,9833-the-phantom-of-the-opera,https://www.themoviedb.org/movie/9833-the-phantom-of-the-opera,SENSATIONAL
9692,9692-the-woodsman,https://www.themoviedb.org/movie/9692-the-woodsman,Great psychological study
9953,9953-love-song-for-bobby-long-a,https://www.themoviedb.org/movie/9953-love-song-for-bobby-long-a,Literature-quoting lazy drama about a teen girl and two older boozers living in a hovel in New Orleans
15045,15045-fat-albert,https://www.themoviedb.org/movie/15045-fat-albert,Hey hey hey!
1853,1853-in-the-realms-of-the-unreal,https://www.themoviedb.org/movie/1853-in-the-realms-of-the-unreal,"This is a 2004 documentary film by Jessica Yu introducing the life and work of Henry Darger. A major figure of ""outsider art"", Darger's work was only discovered after his death when his landlords found thousands of pages of text and paintings in his room. Through his long life, he was known to his few friends and associates only as a janitor in a local hospital. Secretly, he wrote a massive manuscript chronicling the rebellion of girl slaves in a fantasy world, painted with watercolors of the heroines and battles."
11804,11804-white-noise,https://www.themoviedb.org/movie/11804-white-noise,"White Noise fizzles out its noisy static by just being plain boring. Watching Keaton as he unconvincingly stares at televised white noise for an hour and a half, which is essentially nothing, perfectly surmises the experience of Sax' supposedly supernatural horror. However, the biggest crime that the studio committed was releasing the feature on the first weekend of the year. Now, it's common knowledge that the initial start to the cinematic year typically begins with a disposable horror. Well, White Noise is to blame. Signalling untapped box office potential, despite the overt opinions of crit...read the rest."
33766,33766-smooth-talk,https://www.themoviedb.org/movie/33766-smooth-talk,"Based on a short story by Joyce Carol Oates called ""Where Are You Going, Where Have You Been?"", ""Smooth Talk"" stars Laura Dern as a bored and restless adolescent who thinks she's more in control of her sexual allure, and more capable of handling the attention she receives for it, than she is. In a deeply unsettling and slightly surreal scene, a hunky stranger (Treat Williams) comes calling for her, and she realizes that she's not as mature as she thinks. The film captures the same other-worldly quality of the short story (the scene with Treat Williams plays out almost like a feverish dream), wh...read the rest."
11633,11633-appleseed,https://www.themoviedb.org/movie/11633-appleseed,"Crappy stereotypical story, bad and cheesy dialogues and an animation that shows some quality when representing non living characters: people have not facial expression whatsoever."
7214,7214-coach-carter,https://www.themoviedb.org/movie/7214-coach-carter,Coach Carter allows its powerful true story to shine through Samuel Jackson’s performance and the focus on the lives of the young men Coach Carter coached.
26488,26488-torremolinos-73,https://www.themoviedb.org/movie/26488-torremolinos-73,How salacious!
11423,11423-memories-of-murder,https://www.themoviedb.org/movie/11423-memories-of-murder,"Doch eines ist sicher, alle die sich auf das koreanische Kino einlassen können werden bei „Memories of a Murder“ mit einem Film belohnt, der nachwirkt, der nach dem Abspann nicht nur ein weiterer gesehener Film ist. Man liest es vielleicht aus dieser Rezension raus, dass „Memories of a Murder“ überzeugen konnte und genau deswegen sollte auch klar sein, was Ihr nun tun solltet. Genau! Schaut Euch „Memories of a Murder“ an. Überzeugt Euch selbst davon, wie vielschichtig und spannend dieser Film ist. Fiebert selbst mit den Ermittlern mit und rätselt wer die Taten begangen hat. „Memories of a Murde...read the rest."
10694,10694-the-chase,https://www.themoviedb.org/movie/10694-the-chase,It's legit a good movie.
613,613-downfall,https://www.themoviedb.org/movie/613-downfall,Hitler’s end
8968,8968-boogeyman,https://www.themoviedb.org/movie/8968-boogeyman,Everyone is afraid of the boogeyman. I really like this movie. I love a good horror flick.
29259,29259-trou-le,https://www.themoviedb.org/movie/29259-trou-le,The 1947 Escape Attempt At La Sante Prison.
4935,4935-howls-moving-castle,https://www.themoviedb.org/movie/4935-howls-moving-castle,Really good movie staging in a fictional center European country. The drawings are great and the story is as delicate as any other from Miyazaki.
8488,8488-hitch,https://www.themoviedb.org/movie/8488-hitch,Hitch finds clever ways to make us laugh at all of our horrible memories of dates gone wrong while telling an endearing story full of heart and hilarity.
561,561-constantine,https://www.themoviedb.org/movie/561-constantine,"With the announcement that a Constantine sequel was in development, decided to give this another watch (probably last time was when it was released on DVD). While I'm really not that big into the supernatural horror genre and have only basic knowledge of the Hellblazer comic, I still found this one mildly entertaining and for 2004/05, the effects weren't too bad, with the hell sequences looking pretty dang interesting, hopefully gets more exploration in the sequel. And Reeves was decent in the lead.3.0/5"
10214,10214-son-of-the-mask,https://www.themoviedb.org/movie/10214-son-of-the-mask,"A film made to make money off the success of its predecessor, but which has nothing to do with it."
13498,13498-man-of-the-house,https://www.themoviedb.org/movie/13498-man-of-the-house,"Really good watch, would watch again, and can recommend."
9470,9470-kung-fu-hustle,https://www.themoviedb.org/movie/9470-kung-fu-hustle,"Quite an experience, and in a great way as well!"
