movieId,imdbId,tmdbId
30812,0338751,2567
30816,0293508,9833
30818,0363473,6478
30820,0361127,9692
30822,0385267,1901
30825,0290002,693
30846,0364961,842
30848,0369672,9953
30850,0379889,11162
30883,0396592,15045
30892,0390123,1853
30894,0375210,11804
30896,0373416,19803
30898,0365885,11354
30905,0337585,41613
30970,0095274,46021
30977,0107824,40881
30981,0090310,147747
30991,0098112,64699
30994,0081063,47876
31000,0092035,66600
31026,0098090,69234
31035,0086429,21259
31038,0090037,33766
31040,0095036,220690
31045,0099342,21030
31047,0084173,79008
31049,0098042,120328
31060,0100606,26426
31083,0104804,39472
31101,0326208,18927
31114,0373024,25350
31123,0310203,7229
31184,0401233,11633
31221,0357277,9947
31223,0376105,6439
31225,0393162,7214
31251,0087452,24749
31263,0339806,26488
31290,0101412,27549
31359,0416991,39504
31364,0353969,11423
31367,0109402,10694
31408,0420206,342
31410,0363163,613
31420,0398712,8978
31422,0368578,11637
31424,0369226,12142
31427,0382077,11096
31429,0417415,22559
31431,0357507,8968
31433,0372532,6961
31435,0417791,31165
31437,0408664,2517
31447,0113737,24962
31545,0054407,29259
31553,0106761,2436
31555,0095560,20196
31590,0046451,27430
31598,0101404,135473
31600,0094979,41968
31610,0363290,34561
31613,0379270,45174
31619,0119209,118075
31658,0347149,4935
31660,0348121,8953
31680,0361322,193704
31682,0402406,41569
31685,0386588,8488
31687,0407121,13682
31689,0418753,12228
31692,0327210,32588
31694,0361411,57825
31696,0360486,561
31698,0362165,10214
31700,0317132,17880
31702,0424227,8340
31705,0401248,6414
31724,0284674,27202
31747,0099450,21433
31750,0088330,52778
31793,0291213,10636
31807,0326835,18538
31826,0372806,41475
31867,0331933,13498
31878,0373074,9470
31892,0089695,12721
31900,0378906,37232
31903,0288330,19765
31909,0104139,37527
31930,0060675,4710
31952,0373981,5204
31956,0354356,4974
31998,0381682,34614
32002,0363504,51177
32009,0422093,16186
32011,0257516,10012
32013,0401488,65967
32015,0396041,281189
32017,0395699,10022
32019,0377471,4551
32022,0424129,30856
32025,0352994,26
32029,0340163,2026
32031,0358082,9928
32056,0106464,76264
32058,0101590,15771
32062,0097115,43912
32084,0104033,63115
32090,0110400,87169
32116,0087835,38148
32149,0078919,37598
32153,0107745,33539
32168,0388311,1918
32170,0382621,20511
32179,0051378,1093
32239,0354668,11297
32285,0337631,1589
32289,0396652,13374
32291,0378947,9688
32294,0347540,228890
32296,0385307,10040
32298,0372237,11638
32300,0367631,540
32314,0374639,48463
32333,0281176,52277
32342,0399901,44634
32352,0112389,185441
32354,0372814,48598
32419,0107623,39327
32440,0102095,22434
32442,0109936,12778
32460,0119472,158
32464,0101588,1772
32493,0368711,16301
32582,0424565,17592
32584,0357110,17113
32587,0401792,187
32589,0388500,14177
