movieId,title,genres
30812,"Aviator, The (2004)",Drama
30816,"Phantom of the Opera, The (2004)",Drama|Musical|Romance
30818,Beyond the Sea (2004),Drama|Musical
30820,"Woodsman, The (2004)",Drama
30822,In Good Company (2004),Comedy|Drama
30825,Meet the Fockers (2004),Comedy
30846,"Assassination of Richard Nixon, The (2004)",Crime|Drama|Thriller
30848,"Love Song for Bobby Long, A (2004)",Drama
30850,"Merchant of Venice, The (2004)",Drama
30883,Fat Albert (2004),Comedy|Fantasy
30892,In the Realms of the Unreal (2004),Animation|Documentary
30894,White Noise (2005),Drama|Horror|Mystery|Sci-Fi|Thriller
30896,Underclassman (2005),Action|Comedy|Thriller
30898,"Upside of Anger, The (2005)",Comedy|Drama|Romance
30905,Bomb the System (2002),Action|Drama
30970,"Handful of Dust, A (1988)",Drama
30977,"Pickle, The (1993)",Comedy
30981,Wetherby (1985),Drama
30991,Powwow Highway (1989),Drama
30994,Little Miss Marker (1980),Comedy|Drama
31000,Sweet Liberty (1986),Comedy
31026,"Phantom of the Opera, The (1989)",Drama|Horror|Musical
31035,Testament (1983),Drama
31038,Smooth Talk (1985),Drama|Romance
31040,Distant Thunder (1988),Drama
31045,Daddy's Dyin'... Who's Got the Will? (1990),Comedy
31047,Jinxed! (1982),Comedy
31049,Out Cold (1989),Comedy|Thriller
31060,A Show of Force (1990),Drama|Thriller
31083,Man Trouble (1992),Comedy|Romance
31101,Stander (2003),Action|Crime|Drama
31114,Imaginary Heroes (2004),Comedy|Drama
31123,Ruby & Quentin (Tais-toi!) (2003),Comedy|Crime
31184,Appleseed (Appurushîdo) (2004),Action|Animation|Fantasy|Sci-Fi
31221,Elektra (2005),Action|Adventure|Crime|Drama
31223,Racing Stripes (2005),Children|Comedy
31225,Coach Carter (2005),Drama
31251,Iceman (1984),Drama|Sci-Fi
31263,Torremolinos 73 (2003),Comedy|Drama
31290,Beastmaster 2: Through the Portal of Time (1991),Action|Adventure|Fantasy|Sci-Fi
31359,Moolaadé (2004),Drama
31364,Memories of Murder (Salinui chueok) (2003),Crime|Drama|Mystery|Thriller
31367,"Chase, The (1994)",Action|Adventure|Comedy|Crime|Romance|Thriller
31408,Summer Storm (Sommersturm) (2004),Drama|Romance
31410,"Downfall (Untergang, Der) (2004)",Drama|War
31420,Assault on Precinct 13 (2005),Action|Crime|Drama|Thriller
31422,Are We There Yet? (2005),Children|Comedy
31424,Alone in the Dark (2005),Action|Horror|Sci-Fi|Thriller
31427,Hide and Seek (2005),Horror|Mystery|Thriller
31429,Aliens of the Deep (2005),Documentary|IMAX
31431,Boogeyman (2005),Drama|Horror|Mystery|Thriller
31433,"Wedding Date, The (2005)",Comedy|Romance
31435,Rory O'Shea Was Here (Inside I'm Dancing) (2004),Drama
31437,Nobody Knows (Dare mo shiranai) (2004),Drama
31447,Magic in the Water (1995),Adventure|Children|Fantasy
31545,"Trou, Le (Hole, The) (Night Watch, The) (1960)",Crime|Film-Noir
31553,Double Dragon (1994),Action|Adventure|Sci-Fi
31555,Mac and Me (1988),Children|Fantasy|Sci-Fi
31590,Hands Off the Loot (Touchez pas au grisbi) (1954),Crime|Drama|Thriller
31598,"Ballad of the Sad Cafe, The (1991)",Drama
31600,"Deceivers, The (1988)",Adventure|Drama|Thriller
31610,Purple Butterfly (Zi hudie) (2003),Drama
31613,Easy (2003),Comedy|Drama|Romance
31619,Going All the Way (1997),Comedy|Drama
31658,Howl's Moving Castle (Hauru no ugoku shiro) (2004),Adventure|Animation|Fantasy|Romance
31660,Steamboy (Suchîmubôi) (2004),Action|Animation|Drama|Sci-Fi
31680,Assisted Living (2003),Comedy|Drama
31682,"Nomi Song, The (2004)",Documentary|Musical
31685,Hitch (2005),Comedy|Romance
31687,Pooh's Heffalump Movie (2005),Animation|Children
31689,Inside Deep Throat (2005),Documentary
31692,Uncle Nino (2003),Comedy
31694,Bride & Prejudice (2004),Comedy|Musical|Romance
31696,Constantine (2005),Action|Fantasy|Horror|Thriller
31698,Son of the Mask (2005),Adventure|Children|Comedy|Fantasy
31700,Because of Winn-Dixie (2005),Children|Comedy|Drama
31702,Turtles Can Fly (Lakposhtha hâm parvaz mikonand) (2004),Drama|War
31705,Beautiful Boxer (2003),Action|Drama
31724,Pauly Shore Is Dead (2003),Comedy
31747,The Boyfriend School (1990),Comedy|Romance
31750,Until September (1984),Drama|Romance
31793,Big Girls Don't Cry (Große Mädchen weinen nicht) (2002),Drama|Romance
31807,Dot the I (2003),Drama|Film-Noir|Thriller
31826,Bright Leaves (2003),Documentary
31867,Man of the House (2005),Action|Comedy
31878,Kung Fu Hustle (Gong fu) (2004),Action|Comedy
31892,"No Retreat, No Surrender (1986)",Action|Drama
31900,Travellers and Magicians (2003),Adventure|Drama
31903,Zelary (2003),Drama|Romance
31909,Dr. Giggles (1992),Comedy|Horror
31930,Masculin Féminin (1966),Drama
31952,Control (Kontroll) (2003),Comedy|Crime|Drama|Mystery
31956,5x2 (2004),Drama|Romance
31998,"Hole in My Heart, A (Hål i mitt hjärta, Ett) (2004)",Drama
32002,Bigger Than the Sky (2005),Comedy|Drama|Romance
32009,Tyler Perry's Diary of a Mad Black Woman (2005),Comedy|Drama|Romance
