imdbID,overview_NLG,overview_Sentiment,Featured Review,review_NLG,review_Sentiment
tt0293508,"deformed since birth , bitter man known phantom life sewer underneath paris opera house . fall love obscure chorus singer christine , privately tutor terrorizing rest opera house demanding christine given lead role .",-0.5423,SENSATIONAL,sensational,0
tt0361127,paedophile return hometown 12 year prison attempt start new life .,-0.5106,Great psychological study,great psychological study,0.6249
tt0369672,headstrong young woman return new orleans death estranged mother .,-0.5994,Literature-quoting lazy drama about a teen girl and two older boozers living in a hovel in New Orleans,literature-quoting lazy drama teen girl two older boozer living hovel new orleans,-0.3612
tt0396592,"animated character fat albert emerges tv universe real world , accompanied friend rudy , mushmouth , old weird harold dumb donald . though gang flabbergasted modern world , make new friend , albert attempt help young doris become popular . thing get complicated albert fall older sister , lauri , must turn creator bill cosby advice .",0.7845,Hey hey hey!,hey hey hey !,0
tt0390123,"realm unreal documentary reclusive chicago-based artist henry darger . henry darger reclusive died neighbor surprised find 15,145-page manuscript along hundred painting depicting story vivian girl , known realm unreal , glodeco-angelinnian war storm , cased child slave rebellion .",-0.7964,"This is a 2004 documentary film by Jessica Yu introducing the life and work of Henry Darger. A major figure of ""outsider art"", Darger's work was only discovered after his death when his landlords found thousands of pages of text and paintings in his room. Through his long life, he was known to his few friends and associates only as a janitor in a local hospital. Secretly, he wrote a massive manuscript chronicling the rebellion of girl slaves in a fantasy world, painted with watercolors of the heroines and battles.","2004 documentary film jessica yu introducing life work henry darger . major figure `` outsider art '' , darger 's work discovered death landlord found thousand page text painting room . long life , known friend associate janitor local hospital . secretly , wrote massive manuscript chronicling rebellion girl slave fantasy world , painted watercolor heroine battle .",-0.0258
tt0375210,"architect 's desire speak wife beyond grave using evp ( electronic voice phenomenon ) , becomes obsession supernatural repercussion .",-0.3182,"White Noise fizzles out its noisy static by just being plain boring. Watching Keaton as he unconvincingly stares at televised white noise for an hour and a half, which is essentially nothing, perfectly surmises the experience of Sax' supposedly supernatural horror. However, the biggest crime that the studio committed was releasing the feature on the first weekend of the year. Now, it's common knowledge that the initial start to the cinematic year typically begins with a disposable horror. Well, White Noise is to blame. Signalling untapped box office potential, despite the overt opinions of crit...read the rest.","white noise fizzle noisy static plain boring . watching keaton unconvincingly stare televised white noise hour half , essentially nothing , perfectly surmise experience sax ' supposedly supernatural horror . however , biggest crime studio committed releasing feature first weekend year . , 's common knowledge initial start cinematic year typically begin disposable horror . well , white noise blame . signalling untapped box office potential , despite overt opinion crit ... read rest .",-0.9474
tt0090037,"northern californian suburb , free-spirited teenager connie spends summer day thinking boy arguing mom . idyll beach trip , mall hangout , innocent flirtation shattered attracts attention mysterious older man .",0.1779,"Based on a short story by Joyce Carol Oates called ""Where Are You Going, Where Have You Been?"", ""Smooth Talk"" stars Laura Dern as a bored and restless adolescent who thinks she's more in control of her sexual allure, and more capable of handling the attention she receives for it, than she is. In a deeply unsettling and slightly surreal scene, a hunky stranger (Treat Williams) comes calling for her, and she realizes that she's not as mature as she thinks. The film captures the same other-worldly quality of the short story (the scene with Treat Williams plays out almost like a feverish dream), wh...read the rest.","based short story joyce carol oates called `` going , ? `` , `` smooth talk '' star laura dern bored restless adolescent think 's control sexual allure , capable handling attention receives , . deeply unsettling slightly surreal scene , hunky stranger ( treat williams ) come calling , realizes 's mature think . film capture other-worldly quality short story ( scene treat williams play almost like feverish dream ) , wh ... read rest .",0.8988
tt0401233,"utopian society created end third world war , female warrior plucked badlands begin see crack new facade . community planned rest humankind ?",-0.4404,"Crappy stereotypical story, bad and cheesy dialogues and an animation that shows some quality when representing non living characters: people have not facial expression whatsoever.","crappy stereotypical story , bad cheesy dialogue animation show quality representing non living character : people facial expression whatsoever .",-0.7964
tt0393162,"based true story , richmond high school head basketball coach ken carter made headline 1999 benching undefeated team due poor academic result .",-0.0772,Coach Carter allows its powerful true story to shine through Samuel Jackson’s performance and the focus on the lives of the young men Coach Carter coached.,coach carter allows powerful true story shine samuel jackson ’ performance focus life young men coach carter coached .,0.6808
tt0339806,"set 1973 spain , struggling encyclopedia salesman wife take advantage offer make adult film . act turn aspring legit filmmaker international sex symbol .",-0.2023,How salacious!,salacious !,0
tt0353969,"late 1980s , two detective south korean province attempt solve nation 's first series rape-and-murder case .",0.2023,"Doch eines ist sicher, alle die sich auf das koreanische Kino einlassen können werden bei „Memories of a Murder“ mit einem Film belohnt, der nachwirkt, der nach dem Abspann nicht nur ein weiterer gesehener Film ist. Man liest es vielleicht aus dieser Rezension raus, dass „Memories of a Murder“ überzeugen konnte und genau deswegen sollte auch klar sein, was Ihr nun tun solltet. Genau! Schaut Euch „Memories of a Murder“ an. Überzeugt Euch selbst davon, wie vielschichtig und spannend dieser Film ist. Fiebert selbst mit den Ermittlern mit und rätselt wer die Taten begangen hat. „Memories of a Murde...read the rest.","doch eines ist sicher , alle die sich auf da koreanische kino einlassen können werden bei „ memory murder “ mit einem film belohnt , der nachwirkt , der nach dem abspann nicht nur ein weiterer gesehener film ist . man liest e vielleicht au dieser rezension raus , das „ memory murder “ überzeugen konnte und genau deswegen sollte auch klar sein , ihr nun tun solltet . genau ! schaut euch „ memory murder “ . überzeugt euch selbst davon , wie vielschichtig und spannend dieser film ist . fiebert selbst mit den ermittlern mit und rätselt wer die taten begangen hat . „ memory murde ... read rest .",-0.9756
tt0109402,"jack hammond sentenced life prison , manages escape . get away police take girl hostage drive car . girl happens daughter one richest men state . car chase broadcast live every tv-channel .",0.1779,It's legit a good movie.,'s legit good movie .,0.4404
tt0363163,"april 1945 , germany stand brink defeat russian army closing east allied expeditionary force attacking west . berlin , capital third reich , adolf hitler proclaims germany still achieve victory order general adviser fight last man . end finally come , hitler lie dead hand , left military must find way end killing battle berlin , lay arm surrender .",-0.9493,Hitler’s end,hitler ’ end,0
tt0357507,"every culture one – horrible monster fueling young child 's nightmare . tim , boogeyman still life memory creature devoured father 16 year earlier . boogeyman real ? tim make explain father abandoned family ?",-0.782,Everyone is afraid of the boogeyman. I really like this movie. I love a good horror flick.,everyone afraid boogeyman . really like movie . love good horror flick .,0.7548
tt0054407,"four prison inmate hatching plan literally dig jail another prisoner , claude gaspard , moved cell . take risk share plan newcomer . course three day , prisoner friend break concrete floor using bed post begin make way sewer system -- yet escape anything assured .",-0.5859,The 1947 Escape Attempt At La Sante Prison.,1947 escape attempt la sante prison .,-0.3818
tt0347149,"sophie , young milliner , turned elderly woman witch enters shop curse . encounter wizard named howl get caught resistance fighting king .",-0.8176,Really good movie staging in a fictional center European country. The drawings are great and the story is as delicate as any other from Miyazaki.,really good movie staging fictional center european country . drawing great story delicate miyazaki .,0.8173
tt0386588,"dating coach alex 'hitch ' hitchens mentor bumbling client , albert , hope win heart glamorous allegra cole . albert make progress , hitch face romantic setback proven technique fail work sara melas , tabloid reporter digging dirt allegra cole 's love life . sara discovers hitch 's connection albert – allegra 's boyfriend – threatens destroy relationship .",0.8271,Hitch finds clever ways to make us laugh at all of our horrible memories of dates gone wrong while telling an endearing story full of heart and hilarity.,hitch find clever way make u laugh horrible memory date gone wrong telling endearing story full heart hilarity .,0
tt0360486,"john constantine literally hell back . team policewoman solve mysterious suicide twin sister , investigation take world demon angel exists beneath landscape contemporary los angeles .",-0.8519,"With the announcement that a Constantine sequel was in development, decided to give this another watch (probably last time was when it was released on DVD). While I'm really not that big into the supernatural horror genre and have only basic knowledge of the Hellblazer comic, I still found this one mildly entertaining and for 2004/05, the effects weren't too bad, with the hell sequences looking pretty dang interesting, hopefully gets more exploration in the sequel. And Reeves was decent in the lead.3.0/5","announcement constantine sequel development , decided give another watch ( probably last time released dvd ) . 'm really big supernatural horror genre basic knowledge hellblazer comic , still found one mildly entertaining 2004/05 , effect n't bad , hell sequence looking pretty dang interesting , hopefully get exploration sequel . reef decent lead.3.0/5",0.9319
